brand,category,component_subtype,series_name,component_name,nominal_size_mm,nominal_size_inch,flow_coefficient_type,flow_coefficient_value,capacity_kw,capacity_tons,connection_type,connection_standard,material,pressure_rating_bar,max_temperature_c,coolant_compatibility,estimated_price_usd,install_connection_time_min,part_number,source_catalog,source_page,datasheet_url,baseline_references,verification_status
Danfoss,valve,shutoff_valve,GBC L,GBC 6L shut-off ball valve ODF solder,6.35,0.25,Kv,1.83,,,ODF,EN 12735,Stainless Steel,50,150,HFC/HCFC/CO2,,,009L8620,Danfoss GBC/GBC E/GBC L data sheet AI370128771724en,data sheet,https://assets.danfoss.com/documents/latest/482092/AI370128771724en-000402.pdf,ASHRAE TC 9.9,verified
Danfoss,valve,shutoff_valve,GBC L,GBC 10L shut-off ball valve ODF solder,9.52,0.375,Kv,8.04,,,ODF,EN 12735,Stainless Steel,50,150,HFC/HCFC/CO2,,,009L8621,Danfoss GBC/GBC E/GBC L data sheet AI370128771724en,data sheet,https://assets.danfoss.com/documents/latest/482092/AI370128771724en-000402.pdf,ASHRAE TC 9.9,verified
Danfoss,valve,shutoff_valve,GBC L,GBC 12L shut-off ball valve ODF solder,12.7,0.5,Kv,13.17,,,ODF,EN 12735,Stainless Steel,50,150,HFC/HCFC/CO2,,,009L8622,Danfoss GBC/GBC E/GBC L data sheet AI370128771724en,data sheet,https://assets.danfoss.com/documents/latest/482092/AI370128771724en-000402.pdf,ASHRAE TC 9.9,verified
Danfoss,valve,shutoff_valve,GBC L,GBC 16L shut-off ball valve ODF solder,15.88,0.625,Kv,15.66,,,ODF,EN 12735,Stainless Steel,50,150,HFC/HCFC/CO2,,,009L8623,Danfoss GBC/GBC E/GBC L data sheet AI370128771724en,data sheet,https://assets.danfoss.com/documents/latest/482092/AI370128771724en-000402.pdf,ASHRAE TC 9.9,verified
Danfoss,valve,shutoff_valve,GBC L,GBC 28L shut-off ball valve ODF solder,28.57,1.125,Kv,62.25,,,ODF,EN 12735,Stainless Steel,50,150,HFC/HCFC/CO2,,,009L8626,Danfoss GBC/GBC E/GBC L data sheet AI370128771724en,data sheet,https://assets.danfoss.com/documents/latest/482092/AI370128771724en-000402.pdf,ASHRAE TC 9.9,verified
Danfoss,valve,shutoff_valve,GBC,GBC 35s shut-off ball valve ODF solder,34.92,1.375,Kv,92.76,,,ODF,EN 12735,Brass,45,100,HFC/HCFC/CO2,,,009L7027,Danfoss GBC/GBC E/GBC L data sheet AI370128771724en,data sheet,https://assets.danfoss.com/documents/latest/482092/AI370128771724en-000402.pdf,ASHRAE TC 9.9,verified
Danfoss,valve,shutoff_valve,GBC,GBC 42s shut-off ball valve ODF solder,41.27,1.625,Kv,134.76,,,ODF,EN 12735,Brass,45,100,HFC/HCFC/CO2,,,009L7028,Danfoss GBC/GBC E/GBC L data sheet AI370128771724en,data sheet,https://assets.danfoss.com/documents/latest/482092/AI370128771724en-000402.pdf,ASHRAE TC 9.9,verified
Danfoss,valve,shutoff_valve,GBC,GBC 79s shut-off ball valve ODF solder,79.38,3.125,Kv,528.87,,,ODF,EN 12735,Brass,45,100,HFC/HCFC/CO2,,,009L7980,Danfoss GBC/GBC E/GBC L data sheet AI370128771724en,data sheet,https://assets.danfoss.com/documents/latest/482092/AI370128771724en-000402.pdf,ASHRAE TC 9.9,verified
Danfoss,valve,shutoff_valve,GBC E,GBC 35s E shut-off ball valve ODF solder,34.92,1.375,Kv,92.76,,,ODF,EN 12735,Brass,49,150,HFC/HCFC/CO2,,,009L9027,Danfoss GBC/GBC E/GBC L data sheet AI370128771724en,data sheet,https://assets.danfoss.com/documents/latest/482092/AI370128771724en-000402.pdf,ASHRAE TC 9.9,verified
Danfoss,valve,shutoff_valve,GBC E,GBC 79s E shut-off ball valve ODF solder,79.38,3.125,Kv,528.87,,,ODF,EN 12735,Brass,49,150,HFC/HCFC/CO2,,,009L9980,Danfoss GBC/GBC E/GBC L data sheet AI370128771724en,data sheet,https://assets.danfoss.com/documents/latest/482092/AI370128771724en-000402.pdf,ASHRAE TC 9.9,verified
